설정거리_m,GT거리_mm,frame,마스크IoU,오선택,화면잘림,GT면적px,coarse_R_deg,coarse_t_mm,refined_R_deg,refined_t_mm,RH1_R_deg,RH1_t_mm,RH1_ADD_mm,RH1_KPI
0.80,771.8,frame_0027,0.9887,0,0,111130,0.907,2.165,1.4834,2.5866,0.907,2.5866,3.269,1
0.80,778.1,frame_0028,0.9814,0,0,107499,0.5711,0.8968,1.5432,1.9577,0.5711,1.9577,2.2238,1
0.80,805.7,frame_0029,0.9857,0,0,112755,0.5293,2.5567,1.5305,2.1917,0.5293,2.1917,2.6985,1
0.80,776.2,frame_0030,0.9872,0,0,112794,0.8842,1.9151,1.6809,1.6426,0.8842,1.6426,2.4685,1
0.80,795.9,frame_0031,0.9852,0,0,102535,0.4525,2.5824,0.4701,3.5302,0.4525,3.5302,3.895,1
0.80,788.6,frame_0032,0.985,0,0,114898,0.2544,1.2099,1.0833,2.551,0.2544,2.551,2.6943,1
0.80,780.9,frame_0033,0.3799,0,0,94379,0.8724,1.9157,1.22,1.8531,0.8724,1.8531,2.4042,1
0.80,830.0,frame_0034,0.9818,0,0,112268,0.2896,2.4439,1.5739,2.6071,0.2896,2.6071,2.6075,1
0.80,788.0,frame_0035,0.9863,0,0,132041,0.551,2.8244,1.2084,2.5782,0.551,2.5782,2.6777,1
0.80,819.0,frame_0036,0.631,0,0,92874,1.16,2.7133,1.3111,0.6712,1.16,0.6712,1.8387,1
0.80,779.0,frame_0037,0.9839,0,0,122667,0.4053,3.7952,0.7491,1.8887,0.4053,1.8887,1.9104,1
0.80,823.9,frame_0038,0.983,0,0,96517,0.2404,3.5408,0.7778,1.9159,0.2404,1.9159,1.8148,1
0.80,826.6,frame_0039,0.9854,0,0,104439,0.5457,1.3557,1.7223,2.8656,0.5457,2.8656,2.9932,1
0.80,786.6,frame_0040,0.9826,0,0,113752,0.5562,0.4798,1.3866,2.0368,0.5562,2.0368,2.4093,1
0.80,813.2,frame_0041,0.9852,0,0,114043,0.3042,2.2218,1.2847,2.4768,0.3042,2.4768,2.5705,1
0.80,776.7,frame_0042,0.9872,0,0,109356,0.6319,2.4969,1.559,2.1335,0.6319,2.1335,2.5773,1
0.80,780.3,frame_0043,0.9818,0,0,118584,0.493,3.6801,1.7273,1.0847,0.493,1.0847,1.3365,1
0.80,796.3,frame_0044,0.9864,0,0,112271,0.443,1.3854,0.6591,2.5623,0.443,2.5623,2.8797,1
0.80,808.0,frame_0045,0.9754,0,0,81790,0.6579,1.2699,1.1863,1.9927,0.6579,1.9927,2.5791,1
0.80,792.7,frame_0046,0.9805,0,0,79064,0.6599,0.6299,1.591,1.3941,0.6599,1.3941,1.909,1
0.80,816.7,frame_0047,0.9812,0,0,107507,0.2735,2.5208,0.8094,2.5968,0.2735,2.5968,2.5382,1
0.80,792.6,frame_0048,0.981,0,0,119352,0.3545,2.203,1.1972,1.7819,0.3545,1.7819,1.6469,1
0.80,822.6,frame_0049,0.9843,0,0,107243,0.3314,2.7266,0.8639,1.9923,0.3314,1.9923,2.2815,1
